State,Year,Numbirths,ln_numbirths,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore
Gyeongnam,2021,15562,9.652587324,0,0.173582649,-0.482408499,-0.569072689,-1.024470528,-0.091589267,-0.004272694
Jeju,2021,3728,8.223627176,0,1.492663459,-0.533775513,0.894779887,-0.032380709,-0.718197481,-0.752989664
Seoul,2022,42602,10.65965648,0,2.471774988,2.265726763,-1.447384234,-0.693773922,1.982419274,1.877126952
Busan,2022,14134,9.556338521,0,0.47728854,0.37798899,-0.715457946,-1.355167135,-0.058586162,-0.020344469
Daegu,2022,10134,9.223651386,0,0.540749472,0.442197758,-1.300998976,-1.575631539,-0.279290502,-0.261183103
Incheon,2022,14464,9.579418083,0,0.561147629,0.75682072,0.748394629,-0.914238326,-0.075887775,-0.053376094
Gwangju,2022,7446,8.915432254,0,0.33223498,0.005578137,-0.422687431,-1.244934933,-0.477753881,-0.511183488
Daejeon,2022,7677,8.945984125,0,0.198513729,0.089049535,-0.715457946,-0.914238326,-0.477589518,-0.506684538
Ulsan,2022,5399,8.59396903,0,0.765129197,0.493564772,-1.593769492,-1.024470528,-0.617005522,-0.615114027
Gyeonggi,2022,75323,11.22954081,0,1.279616043,1.321857876,1.773091432,-0.473309518,2.93473918,3.155850799
Gangwon,2022,7278,8.892611378,0,0.454623921,-1.047445655,0.748394629,-0.914238326,-0.546584475,-0.524621761
Chungbuk,2022,7452,8.916237732,0,0.558881167,-0.694297432,0.455624114,-0.914238326,-0.499388149,-0.482690137
Chungnam,2022,10221,9.232199706,0,1.241086191,-0.508092006,0.748394629,-0.804006124,-0.354858767,-0.328724293
Jeonbuk,2022,7032,8.858226439,0,0.291438666,-1.105233546,-0.276302174,-1.685863741,-0.476733864,-0.461638918
Jeonnam,2022,7888,8.973097896,0,1.256951424,-1.079550039,-0.129916916,-1.244934933,-0.524449867,-0.478744595
Gyeongbuk,2022,11311,9.333530983,0,0.481821463,-0.989657764,0.309238857,-1.575631539,-0.315642501,-0.231940951
Gyeongnam,2022,14017,9.548026158,0,0.50221962,-0.527354636,-0.422687431,-1.465399337,-0.115662391,-0.018556441
Jeju,2022,3599,8.188411308,0,1.957288142,-0.533775513,1.041165144,-0.58354172,-0.720498562,-0.75258577
Seoul,2023,39456,10.58294141,0,3.008926451,2.207938872,-0.422687431,-0.804006124,1.952171664,1.851908171
Busan,2023,12866,9.462343452,0,0.783260892,0.320201099,-0.422687431,-1.465399337,-0.075808011,-0.034774044
Daegu,2023,9410,9.149528233,0,0.824057206,0.410093374,-0.569072689,-1.465399337,-0.292102349,-0.264762847
Incheon,2023,13659,9.522153924,0,1.018972927,0.731137213,1.626706175,-0.914238326,-0.079197996,-0.049092199
Gwangju,2023,6172,8.727778213,0,0.624608561,0.082628658,-0.569072689,-1.244934933,-0.489867186,-0.517148908
Daejeon,2023,7194,8.881002624,0,0.327702056,0.082628658,-0.129916916,-0.693773922,-0.485250522,-0.510084045
Ulsan,2023,5082,8.533460164,0,1.132296021,0.564194416,-1.154613719,-1.024470528,-0.625536682,-0.618362791
Gyeonggi,2023,68817,11.13920609,0,1.327211742,1.251228232,0.602009372,-0.58354172,2.897398586,3.166349988
Gangwon,2023,6688,8.808070155,0,0.96231138,-1.002499518,0.894779887,-1.024470528,-0.552732373,-0.528817586
Chungbuk,2023,7580,8.933268479,0,1.125496635,-0.572300773,0.602009372,-0.693773922,-0.500620871,-0.479458987
Chungnam,2023,9436,9.152287441,0,1.619585323,-0.475987622,1.187550402,-0.804006124,-0.356909677,-0.322423387
Jeonbuk,2023,6622,8.798152718,0,0.61100979,-1.105233546,-0.276302174,-1.685863741,-0.485945438,-0.465085532
Jeonnam,2023,7828,8.965462329,0,1.438268374,-1.098812669,0.162853599,-1.244934933,-0.529930645,-0.478627441
Gyeongbuk,2023,10186,9.228769507,0,0.885251677,-1.008920394,-0.276302174,-1.575631539,-0.334536985,-0.243362623
Gyeongnam,2023,13049,9.476466781,0,0.980443075,-0.469566745,-0.715457946,-1.465399337,-0.138285254,-0.026446296
Jeju,2023,3222,8.077757564,0,2.634960242,-0.495250252,0.894779887,-0.58354172,-0.724205187,-0.752815162
Seoul,2024,41600,10.63585545,0,2.818543654,2.118046597,-0.276302174,-0.693773922,1.945163278,1.841688349
Busan,2024,13100,9.480367509,0,0.733398731,0.262413208,-0.276302174,-1.575631539,-0.088188406,-0.046899458
Daegu,2024,10100,9.220290703,0,0.50221962,0.211046194,-0.129916916,-1.244934933,-0.302511597,-0.275252204
Incheon,2024,15200,9.629050707,1,0.855787672,0.551352663,1.773091432,-0.693773922,-0.077522945,-0.046499251
Gwangju,2024,6000,8.699514748,0,0.29597159,-0.02010537,-0.715457946,-1.024470528,-0.495385429,-0.519056958
Daejeon,2024,7300,8.895629627,0,0.189447882,0.044103397,-0.129916916,-1.024470528,-0.487722008,-0.510909037
Ulsan,2024,5300,8.5754621,0,1.014440003,0.339463729,-0.715457946,-0.693773922,-0.630946155,-0.621985136
Gyeonggi,2024,71300,11.17465161,0,1.041637546,0.904500886,0.602009372,-0.58354172,2.866161174,3.162875929
Gangwon,2024,6600,8.794824928,0,0.75606335,-1.015341271,0.016468341,-1.024470528,-0.561818258,-0.535674768
Chungbuk,2024,7500,8.9226583,0,0.862587058,-0.681455679,0.455624114,-0.693773922,-0.511002322,-0.486994104
Chungnam,2024,9900,9.200290036,0,1.537992696,-0.553038143,1.187550402,-0.693773922,-0.361701581,-0.323256161
Jeonbuk,2024,6800,8.824677891,0,0.533950086,-1.124496176,-0.276302174,-1.575631539,-0.495949822,-0.470907992
Jeonnam,2024,8200,9.011889433,0,1.390672674,-1.066708285,0.016468341,-1.244934933,-0.540152568,-0.488057909
Gyeongbuk,2024,10300,9.239899174,0,0.880718753,-1.053866532,-0.276302174,-1.465399337,-0.345583139,-0.248522304
Gyeongnam,2024,13100,9.480367509,0,0.783260892,-0.475987622,-0.569072689,-1.575631539,-0.155868459,-0.039510988
Jeju,2024,3200,8.070906089,0,2.666690709,-0.450304115,-0.276302174,-0.693773922,-0.727128671,-0.754353727
