State,Year,Birthrate,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore
Chungnam,2018,1.186,0,-0.13918909,-0.418199731,1.480320917,0.739244705,-0.316527161,-0.318685117
Jeonbuk,2018,1.044,0,-1.281485874,-1.252913712,-0.422687431,-0.363077316,-0.427988176,-0.435161759
Jeonnam,2018,1.24,0,-1.104701848,-1.362068617,-0.129916916,-0.252845114,-0.482532491,-0.462576557
Gyeongbuk,2018,1.167,0,-0.678607015,-0.951132503,-0.129916916,0.077851493,-0.239802313,-0.189982292
Gyeongnam,2018,1.122,0,-0.483691294,-0.212731674,0.309238857,0.298315897,-0.013437121,0.032945744
Jeju,2018,1.22,0,1.202556339,-0.418199731,3.383329265,1.290405716,-0.713441833,-0.754388545
Seoul,2019,0.717,0,0.873919367,2.278568517,-1.447384234,0.95970911,2.137125862,2.008856112
Busan,2019,0.827,0,-0.377167586,0.57703617,-1.008228461,-0.252845114,0.010477682,0.039747625
Daegu,2019,0.932,0,-0.621945469,0.313780222,-0.715457946,-0.032380709,-0.220884867,-0.222909052
Incheon,2019,0.94,0,-0.053063539,1.071443682,0.162853599,0.629012503,-0.04271789,-0.045019263
Gwangju,2019,0.913,0,-0.866723351,-0.013684494,-0.422687431,0.077851493,-0.448711197,-0.498024171
Daejeon,2019,0.883,0,-0.875789198,0.185362687,-1.300998976,0.518780301,-0.449882282,-0.490464067
Ulsan,2019,1.084,0,0.237043581,0.814608611,-1.447384234,0.629012503,-0.584042299,-0.595428509
Gyeonggi,2019,0.943,0,0.18718142,1.251228232,2.065861947,0.739244705,3.013344533,3.093080553
Gangwon,2019,1.082,0,-0.739801486,-1.124496176,-0.276302174,0.077851493,-0.525205211,-0.513078839
Chungbuk,2019,1.05,0,-0.624211931,-0.790610584,0.602009372,0.408548099,-0.47192504,-0.469670504
Chungnam,2019,1.112,0,-0.014533687,-0.514512882,0.894779887,0.739244705,-0.324890332,-0.31863719
Jeonbuk,2019,0.971,0,-1.159096932,-1.323543357,-1.008228461,-0.693773922,-0.440357693,-0.440870751
Jeonnam,2019,1.234,0,-0.916585512,-1.407014755,-0.422687431,-0.58354172,-0.492584008,-0.464254805
Gyeongbuk,2019,1.089,0,-0.603813774,-1.034603902,-0.276302174,-0.142612911,-0.257947495,-0.196451965
Gyeongnam,2019,1.046,0,-0.481424833,-0.488829375,-0.129916916,-0.032380709,-0.037350716,0.026674741
Jeju,2019,1.145,0,1.259217886,-0.514512882,2.065861947,1.069941312,-0.714644342,-0.752824583
Seoul,2020,0.642,0,1.370274517,2.252885009,-0.569072689,0.518780301,2.093173286,1.967463969
Busan,2020,0.747,0,-0.03039892,0.525669156,-0.861843204,-0.473309518,-0.012689028,0.018356824
Daegu,2020,0.807,0,-0.295574959,0.281675838,-1.300998976,-0.473309518,-0.239132776,-0.235480142
Incheon,2020,0.829,0,0.062526017,0.833871241,0.016468341,0.077851493,-0.059206149,-0.054393612
Gwangju,2020,0.811,0,-0.508622375,0.005578137,-0.276302174,-0.252845114,-0.461942411,-0.505184888
